id	name	label	resource	description	synonyms	pmids	taxid	xrefs	raw_id
MONDO:0005495	adrenocortical insufficiency	Disease	MONDO	An endocrine or hormonal disorder that occurs when the adrenal cortex does not produce enough of the hormone cortisol and in some cases, the hormone aldosterone. It may be due to a disorder of the adrenal cortex (Addison's disease or primary adrenal insufficiency) or to inadequate secretion of ACTH by the pituitary gland (secondary adrenal insufficiency). [NCIT:C26691]	adrenocortical insufficiency|adrenal cortical insufficiency|corticoadrenal insufficiency|hypocortisolism|adrenal cortical hypofunction|adrenal insufficiency|adrenal gland insufficiency|hypocortisolemia			ICD-9:255.41|DOID:9553|HP:0000834|UMLS:C0405580|MESH:D000309|ICD-9:255.4|MESH:D000307|DOID:10493	MESH:D000307
MONDO:0002817	age-related hearing impairment 1	Disease	MONDO	Tumors or cancer of the ADRENAL GLANDS.	ARHI1|age-related hearing impairment 1			MESH:C567305|MESH:D000310|DOID:3953|UMLS:C2676230|OMIM:612448|HP:0100631	MESH:D000310
MONDO:0008727	alacrima, congenital, autosomal dominant	Disease	MONDO					MESH:C566307|MESH:C538236|OMIM:103420	MESH:C538236
MONDO:0000004	Wernicke-Korsakoff syndrome	Disease	MONDO	Wernicke-Korsakoff syndrome is a brain disorder, due to thiamine deficiency that has been associated with both Wernicke's encephalopathy and Korsakoff syndrome. The term refers to two different syndromes, each representing a different stage of the disease. Wernicke's encephalopathy represents the 'acute' phase and Korsakoff's syndrome represents the 'chronic' phase. However, they are used interchangeable in many sites. Wernicke's encephalopathy is characterized by confusion, abnormal stance and gait (ataxia), and abnormal eye movements (nystagmus). Korsakoff's syndrome is observed in a small number of patients. It is a type of dementia, characterized by memory loss and confabulation (filling in of memory gaps with data the patient can readily recall) and involvement of the heart, vascular, and nervous system. Wernicke-Korsakoff syndrome mainly results from chronic alcohol use, but also from dietary deficiencies, prolonged vomiting, eating disorders, systemic diseases (cancer, AIDS, infections), bariatric surgery, transplants, or the effects of chemotherapy. Studies indicate that there may be some genetic predisposition for the disease.Treatment involves supplementing the diet with thiamine. Wernicke encephalopathy is an acute syndrome and requires emergency treatment to prevent death and neurologic complications. In cases where the diagnosis is not confirmed, patients should still be treated while additional evaluations are completed. [https://rarediseases.info.nih.gov/diseases/6843/wernicke-korsakoff-syndrome]	Korsakov psychosis|Korsakov's psychosis|Korsakoff's syndrome|Korsakoff syndrome|Wernicke-Korsakoff syndrome|Korsakoff's psychosis			HP:0000846|DOID:10915|MESH:D000309|OMIM:277730|MESH:C538669	MESH:D000309
MONDO:0012910	alcohol withdrawal delirium	Disease	MONDO	An acute organic mental disorder induced by cessation or reduction in chronic alcohol consumption. Clinical characteristics include confusion; delusions; vivid hallucinations; tremor; agitation; insomnia; and signs of autonomic hyperactivity (e.g., elevated blood pressure and heart rate, dilated pupils, and diaphoresis). This condition may occasionally be fatal. It was formerly called delirium tremens. (From Adams et al., Principles of Neurology, 6th ed, p1175) [MESH:D000430]				MESH:D000430|MESH:C567305|ICD-9:291.0	MESH:C567305
MONDO:0007075	alkaptonuria	Disease	MONDO	A metabolic disease characterized by the accumulation of homogentisic acid (HGA) and its oxidized product, benzoquinone acetic acid (BQA), in various tissues (e.g. cartilage, connective tissue) and body fluids (urine, sweat), causing urine to darken when exposed to air as well as grey-blue coloration of the sclera and ear helix (ochronosis), and a disabling joint disease involving both the axial and peripheral joints (ochronotic arthropathy). [Orphanet:56]	alkaptonuria|homogentisic acid oxidase deficiency|homogentisate 1,2-dioxygenase deficiency|hereditary ochronosis|alcaptonuria			ICD-9:270.2|MESH:D000474|DOID:9270|MESH:C566307|ORDO:56|UMLS:C0002066|UMLS:C2931645|OMIM:203500	MESH:C566307
MESH:D000419	Aloi Tomasini Isaia syndrome	Disease	CTD	A syndrome characterized by a unilateral linear basal cell nevus, diffuse osteoma cutis, unilateral anodontia (missing teeth), and abnormal bone mineralization. This is an n-of-1 use case where only one patient or family has been described with this disorder. [https://orcid.org/0000-0001-5208-3432, PMID:2715453]	basal cell nevus anodontia abnormal bone mineralization			MESH:D000419|UMLS:C2931405|HP:0012592|MESH:C537049	
MONDO:0010198	alopecia, androgenetic, 3	Disease	MONDO		alopecia, androgenetic, 3|AGA3			MESH:C567317|UMLS:C2676272|OMIM:612421|MESH:C538669	MESH:C538669
MONDO:0006642	alopecia universalis onychodystrophy vitiligo	Disease	MONDO	A syndrome characterized by total alopecia (hair loss), total vitíligo, and nail changes. The nail changes consist of fine pitting, associated with softness, and friability and may include horizontal splitting. The vitiligo is characterized by complete, rapid uniform loss of pigment which occurrs without going through a patchy state. The entire cutaneous surface is light and translucent-appearing and is prone to burning on exposure to the sun. [https://orcid.org/0000-0001-5208-3432, PMID:14043609]				MESH:D000430|UMLS:C2931408|MESH:C537056	MESH:D000430
MONDO:0008753	Alkaptonuria	Disease	MONDO	An inborn error of amino acid metabolism resulting from a defect in the enzyme HOMOGENTISATE 1,2-DIOXYGENASE, an enzyme involved in the breakdown of PHENYLALANINE and TYROSINE. It is characterized by accumulation of HOMOGENTISIC ACID in the urine, OCHRONOSIS in various tissues, and ARTHRITIS.				DOID:9270|MESH:D000474	MESH:D000474
MONDO:0021845	alpha-mannosidosis type 1	Disease	MONDO					MESH:C537049|MESH:C536584|UMLS:C2931251	MESH:C537049
MONDO:0012899	Alsing syndrome	Disease	MONDO	An autosomal recessive, oculo-reno-skeletal syndrome characterized by bilateral atypical macular coloboma, familial juvenile nephronophthisis and mesomelic skeletal dysplasia of upper limbs with bilateral radiohumeral fusion. [https://orcid.org/0000-0001-5208-3432, PMID:3231430]				MESH:C536588|UMLS:C2931255|MESH:C567317	MESH:C567317
MONDO:0021851	Alopecia universalis onychodystrophy vitiligo	Disease	MONDO					MESH:C537056	MESH:C537056
MONDO:0013538	Alzheimer disease 11	Disease	MONDO	An Alzheimer's disease that is characterized by an associated with variation in the region 9p22.1. [DOID:0110044, PMID:18761660]	Alzheimer disease type 11|AD11|Alzheimer's disease 11|Alzheimer's disease type 11|Alzheimer disease 11|Alzheimer disease-11			UMLS:C1853360|MESH:C565228|OMIM:609790|DOID:0110044|MESH:C566304	MESH:C566304
MONDO:0022424	Alzheimer disease 7	Disease	MONDO	An Alzheimer's disease that is characterized by an associated with variation in the region 10p13. [DOID:0110039, PMID:11443525]	Alzheimer disease, familial 7|Alzheimer disease type 7|Alzheimer's disease type 7|AD7|Alzheimer disease 7|Alzheimer's disease 7|Alzheimer disease-7			MESH:C536584|OMIM:606187|MESH:C565251|UMLS:C1853555|DOID:0110039	MESH:C536584
MONDO:0021856	Alzheimer disease 8	Disease	MONDO	An Alzheimer's disease that is characterized by an associated with variation in the region 20p12.2-q11.21. [DOID:0110041, PMID:9008509]	Alzheimer's disease type 8|Alzheimer disease type 8|Alzheimer disease, familial 8|Alzheimer disease 8|Alzheimer's disease 8|AD8			DOID:0110041|MESH:C536588|OMIM:607116|MESH:C564622|UMLS:C1846735	MESH:C536588
MONDO:0004553	Alzheimer disease, familial early-onset, with coexisting amyloid and prion pathology	Disease	MONDO	A common interstitial lung disease caused by hypersensitivity reactions of PULMONARY ALVEOLI after inhalation of and sensitization to environmental antigens of microbial, animal, or chemical sources. The disease is characterized by lymphocytic alveolitis and granulomatous pneumonitis.	Alzheimer disease, familial early-onset, with coexisting amyloid and prion pathology			OMIM:605055|HP:0006516|DOID:841|UMLS:C1857933|MESH:C565728|MESH:D000542	MESH:D000542
MONDO:0012344	Alzheimer disease 4	Disease	MONDO	Alzheimer's disease with an early onset (starts before the age of 65). It is caused by mutations in the PSEN2 gene. [NCIT:C123413]	Alzheimer disease 4|Alzheimer disease type 4|AD4|Alzheimer disease, familial4|Alzheimer disease-4|familial Alzheimer disease, type 4|familial Alzheimer's disease, type 4|Alzheimer's disease 4|Alzheimer's disease type 4			OMIM:606889|MESH:C565228|DOID:0110040|UMLS:C1847200|MESH:C536596	MESH:C565228
MONDO:0011647	Leber congenital amaurosis 2	Disease	MONDO	Any Leber congenital amaurosis in which the cause of the disease is a mutation in the RPE65 gene. [MONDO:patterns/disease_series_by_gene]	Leber congenital amaurosis type 2|Leber congenital amaurosis caused by mutation in RPE65|Leber congenital amaurosis 2|LCA2|RPE65 Leber congenital amaurosis|amaurosis congenita of Leber II			OMIM:204100|MESH:C536601|ICD10CM:H35.5|MESH:C565251|UMLS:C1859844|DOID:0110016	MESH:C565251
MONDO:0011777	aminoacylase 1 deficiency	Disease	MONDO	Aminoacylase 1 deficiency (ACY1D) is an inborn error of metabolism marked by a characteristic pattern of urinary N-acetyl amino acid excretion and neurologic symptoms. [Orphanet:137754]	N-acyl-L-amino acid amidohydrolase deficiency|neurological conditions associated with aminoacylase 1 deficiency|ACY1D|aminoacylase 1 deficiency			UMLS:C1835922|MESH:C564622|ICD-9:270.8|OMIM:609924|MESH:C538246|ORDO:137754	MESH:C564622
MONDO:0011513	amniotic band syndrome	Disease	MONDO	A group of sporadic congenital anomalies, that occur in association with amniotic bands, involving the limbs, craniofacial regions, spine and trunk with a highly variable clinical spectrum ranging from simple digital band constriction (or amputation) to complex craniofacial, central nervous system and visceral anomalies. [https://orcid.org/0000-0001-5208-3432, Orphanet:1034]	deformity due to amniotic band|amniotic deformity-adhesion-mutilation syndrome|constriction rings syndrome|amniotic bands|constriction band syndrome|amniotic band constriction|Adam syndrome|congenital ring constrictions|Streeter dysplasia			OMIM:217100|MESH:C565728|MESH:D000652|ORDO:1034|ORDO:295000	MESH:C565728
MONDO:0011743	Gerstmann-Straussler-Scheinker syndrome	Disease	MONDO	A very rare and fatal disorder of spongiform encephalopathy usually caused by mutations of the prion protein (PRNP) gene. It is characterized by the accumulation of amyloid in the brain. Signs and symptoms include lack of motor coordination, unsteady gait, and difficulty walking. As the disease progresses, patients develop speech difficulties and dementia. [NCIT:P378]	subacute spongiform encephalopathy, Gerstmann-Straussler type|prion dementia|Gerstmann-Straussler-Scheinker disease			ICD-9:046.71|ICD10CM:A81.82|ORDO:356|UMLS:C0017495|OMIM:137440|MESH:C536596|MESH:C535800|DOID:4249	MESH:C536596
MONDO:0008765	juvenile amyotrophic lateral sclerosis with dementia	Disease	MONDO	A juvenile amyotrophic lateral sclerosis that is slowly progressive with concomitantly progressive dementia. [DOID:0110067, PMID:5692341]	ALS-dementia complex			MESH:C536601|MESH:C565956|UMLS:C1859806|OMIM:205200|DOID:0110067	MESH:C536601
MONDO:0012368	anemia, congenital hypoplastic, with multiple congenital anomalies/intellectual disability syndrome	Disease	MONDO		anemia, congenital hypoplastic, with multiple congenital anomalies/intellectual disability syndrome|anemia, congenital hypoplastic, with multiple congenital anomalies/mental retardation syndrome			UMLS:C1858537|OMIM:604315|MESH:C565796|MESH:C538246	MESH:C538246
MONDO:0015167	inherited aplastic anemia	Disease	MONDO	An inborn condition characterized by deficiencies of red cell precursors that sometimes also includes leukopenia and thrombocytopenia. [MESH:D029502]	constitutional aplastic anemia|hereditary aplastic anemia			UMLS:C0702159|ICD-9:284.0|HP:0009775|ORDO:68383|DOID:1342|UMLS:C0949116|ICD10CM:D61.0|ICD-9:284.09|MESH:D029502|MESH:D000652	MESH:D000652
MONDO:0007656	pernicious anemia	Disease	MONDO	Megaloblastic anemia caused by vitamin B-12 deficiency due to impaired absorption. The impaired absorption of vitamin B-12 is secondary to atrophic gastritis and loss of gastric parietal cells. [NCIT:P378]	pernicious anemia|Addison-Biermer anemia|acquired pernicious anemia|Addison's anaemia|Addison anaemia|anemia pernicious|Biermer's anemia|intrinsic factor deficiency|Biermer disease|juvenile onset pernicious anemia|Biermer anemia			OMIM:170900|DOID:13381|ORDO:120|MESH:D000752|ICD-9:281.0|MESH:C535800|UMLS:C0002892	MESH:C535800
MONDO:0008781	sideroblastic anemia 2	Disease	MONDO					DOID:0060065|MESH:C567145|MESH:C565956|OMIM:205950	MESH:C565956
MONDO:0011433	aneurysm, intracranial berry, 4	Disease	MONDO		ANIB4			UMLS:C1857749|OMIM:610213|DOID:0080967|MESH:C565700|MESH:C565796	MESH:C565796
MONDO:0001713	interventricular septum aneurysm	Disease	MONDO	Interventricular septum aneurysm is a rare, non-syndromic, congenital heart malformation characterized by the presence of a congenital aneurysm of the membranous portion of the interventricular septum. Patients may be asymptomatic or may present with ventricular or supraventricular tachycardia, fatigue, exertional dyspnea, palpitations, and cardiac murmur. Ventricular septal defects and conduction defects, such as first-degree atrio-ventricular block or incomplete right bundle branch block, may also be also associated. [Orphanet:99092]				DOID:1342|OMIM:105805|MESH:C563239|UMLS:C1387721|ORDO:99092|MESH:D029502	MESH:D029502
MONDO:0008228	angiomatosis, diffuse Corticomeningeal, of Divry and van Bogaert	Disease	MONDO	A megaloblastic anemia occurring in children but more commonly in later life, characterized by histamine-fast achlorhydria, in which the laboratory and clinical manifestations are based on malabsorption of vitamin B 12 due to a failure of the gastric mucosa to secrete adequate and potent intrinsic factor. (Dorland, 27th ed)	angiomatosis, diffuse Corticomeningeal, of Divry and van Bogaert			DOID:13381|OMIM:206570|MESH:C536367|MESH:D000752|UMLS:C1859783	MESH:D000752
MONDO:0008785	breast angiosarcoma	Disease	MONDO	A malignant vascular neoplasm arising from the breast. [NCIT:C5184]	angiosarcoma (disease) of breast|angiosarcoma of breast|breast angiosarcoma|breast hemangiosarcoma|breast angiosarcoma (disease)|angiosarcoma of the breast|hemangiosarcoma of breast|hemangiosarcoma of the breast			DOID:4511|MESH:C567145|MESH:C536368|UMLS:C1332614	MESH:C567145
MONDO:0012443	angiostrongyliasis	Disease	MONDO	A foodborne zoonotic disease, endemic to Southeast Asia and the Pacific Islands, caused by the rat lungworm Angiostrongylus cantonensis and that is acquired by the ingestion of the infective larvae on vegetables or in raw or undercooked snails, slugs, land crabs, freshwater shrimps, frogs and lizards. The main feature is eosinophilic meningitis, with clinical manifestations including fever, headache, malaise, fatigue, vomiting, rhinorrhea, blurred vision, diplopia, cough, stiff neck, enteritis, constipation and paraesthesia due to the movement of the worms from the intestines to the lungs, central nervous system and eyes. In severe cases without treatment, coma and death can occur. [Orphanet:74]				ICD-9:128.8|MESH:C536369|UMLS:C0392662|ORDO:74|MESH:C565700|DOID:0050256	MESH:C565700
MONDO:0007112	isolated anhidrosis with normal sweat glands	Disease	MONDO	Any anhidrosis in which the cause of the disease is a mutation in the ITPR2 gene. [MONDO:patterns/disease_series_by_gene]	Dann-Epstein-Sohar syndrome|ITPR2 anhidrosis|anhidrosis caused by mutation in ITPR2			UMLS:C1862871|MESH:C563239|DOID:0060603|OMIM:106190|ORDO:468666	MESH:C563239
MESH:D000787	aniridia 2	Disease	CTD	The symptom of paroxysmal pain consequent to MYOCARDIAL ISCHEMIA usually of distinctive character, location and radiation. It is thought to be provoked by a transient stressful situation during which the oxygen requirements of the MYOCARDIUM exceed that supplied by the CORONARY CIRCULATION.	aniridia type 2|AN2|aniridia 2|aniridia 2; AN2			MESH:D000787|MESH:C536372|OMIM:617141|HP:0001681	
MESH:D018322	ankle injury	Disease	CTD	Harm or hurt to the ankle or ankle joint usually inflicted by an external source. [MESH:D016512]	injury of ankle|tarsal region injury|injury of tarsal region|ankle injury			MESH:D016512|MESH:D018322|HP:0010615	
